step total box obj cls lr
24165 4.143442 0.555330 1.328901 0.037891 0.000052795
24259 3.679195 0.479976 1.249002 0.030311 0.000052795
24334 2.781214 0.329221 1.094150 0.040957 0.000052795
24409 3.857798 0.507832 1.279070 0.039567 0.000052795
24494 3.624685 0.468351 1.231748 0.051182 0.000052795
24583 3.971277 0.493168 1.459594 0.045845 0.000052795
24631 4.048133 0.532874 1.345076 0.038685 0.000052795
24711 4.204577 0.555692 1.386493 0.039624 0.000052795
24795 3.300382 0.412541 1.198678 0.038999 0.000052795
24873 2.936092 0.353519 1.136377 0.032120 0.000052795
24938 3.586675 0.462030 1.235819 0.040704 0.000052795
25005 4.631460 0.649999 1.350495 0.030969 0.000034227
25071 4.030020 0.534490 1.318204 0.039367 0.000034227
25148 3.615628 0.467598 1.243331 0.034306 0.000034227
25238 3.254271 0.384146 1.297643 0.035900 0.000034227
25305 3.787004 0.480834 1.341517 0.041318 0.000034227
25349 3.615370 0.470118 1.230001 0.034778 0.000034227
25401 4.499029 0.614553 1.385186 0.041075 0.000034227
25500 3.373045 0.436339 1.152500 0.038850 0.000034227
25563 3.652144 0.494117 1.153334 0.028224 0.000034227
25633 4.587318 0.628505 1.410970 0.033824 0.000034227
25701 3.849788 0.495252 1.333671 0.039854 0.000034227
25764 2.427018 0.276957 1.002897 0.039334 0.000034227
25824 3.510599 0.453746 1.204059 0.037809 0.000034227
25883 3.972259 0.542528 1.217077 0.042541 0.000034227
25930 3.010585 0.348781 1.221539 0.045142 0.000020817
25999 3.655973 0.456041 1.335009 0.040759 0.000020817
26071 3.724440 0.466785 1.350709 0.039808 0.000020817
26136 3.164845 0.381134 1.220898 0.038276 0.000020817
26194 3.221063 0.375672 1.294995 0.047710 0.000020817
26267 3.422668 0.441097 1.173246 0.043938 0.000020817
26335 3.515011 0.438137 1.281843 0.042483 0.000020817
26391 3.830814 0.494769 1.311237 0.045732 0.000020817
26469 3.367771 0.407901 1.287916 0.040348 0.000020817
26579 4.022293 0.521492 1.371499 0.043334 0.000020817
26658 4.153226 0.531563 1.449478 0.045934 0.000020817
26717 2.636239 0.324071 0.970599 0.045287 0.000020817
26774 3.496714 0.432971 1.290799 0.041060 0.000020817
26866 3.560031 0.453860 1.249335 0.041398 0.000012712
26947 4.089616 0.573045 1.194170 0.030219 0.000012712
27002 3.833396 0.504552 1.277913 0.032722 0.000012712
27064 5.598198 0.846828 1.330780 0.033277 0.000012712
27136 2.971179 0.360228 1.132219 0.037822 0.000012712
27210 3.200054 0.397615 1.175560 0.036417 0.000012712
27269 3.171120 0.386224 1.189873 0.050127 0.000012712
27352 3.324959 0.409874 1.235332 0.040254 0.000012712
27410 4.186728 0.561508 1.339996 0.039192 0.000012712
27492 4.529358 0.650661 1.243255 0.032800 0.000012712
27575 4.038389 0.546643 1.268294 0.036878 0.000012712
27635 3.129128 0.381148 1.183119 0.040271 0.000012712
27695 3.590169 0.466407 1.228266 0.029868 0.000012712
27750 3.500992 0.469065 1.118096 0.037571 0.000012712
